Annotator ID,Annotation Mode,Image Range
0,Standard,2493 - 2532
0,Min / Max,2534 - 2573
1,Standard,2576 - 2615
1,Min / Max,2617 - 2656
2,Standard,2659 - 2698
2,Min / Max,2700 - 2739
3,Standard,2742 - 2781
3,Min / Max,2783 - 2822
4,Standard,2825 - 2864
4,Min / Max,2866 - 2905
5,Standard,2908 - 2947
5,Min / Max,2949 - 2988
6,Standard,2991 - 3030
6,Min / Max,3032 - 3071
7,Standard,3074 - 3113
7,Min / Max,3115 - 3154
8,Standard,3157 - 3196
8,Min / Max,3198 - 3237
9,Standard,3240 - 3279
9,Min / Max,3281 - 3320
10,Standard,3323 - 3362
10,Min / Max,3364 - 3403
11,Standard,3406 - 3445
11,Min / Max,3447 - 3486
12,Standard,3489 - 3528
12,Min / Max,3530 - 3569
13,Standard,3572 - 3611
13,Min / Max,3613 - 3652
14,Standard,3655 - 3694
14,Min / Max,3696 - 3735
